,,1960
0,,1960
0,,1960
-4,,1956
0,,1956
-4,,1952
0,,1952
-5,,1947
0,,1947
0,,1947
0,,1947
0,,1947
0,,1947
-4,,1943
0,,1943
-5,,1938
0,,1938
-4,,1934
0,,1934
-4,,1930
0,,1930
-4,,1926
0,,1926
-1,,1925
0,,1925
0,,1925
0,,1925
-2,,1923
0,,1923
-4,,1919
0,,1919
1,,1920
0,,1920
-4,,1916
0,,1916
0,,1916
0,,1916
-3,,1913
0,,1913
-3,,1910
0,,1910
1,,1911
0,,1911
0,,1911
0,,1911
0,,1911
0,,1911
2,,1913
0,,1913
0,,1913
0,,1913
1,,1914
0,,1914
0,,1914
0,,1914
0,,1914
0,,1914
-1,,1913
0,,1913
-1,,1912
0,,1912
1,,1913
0,,1913
-1,,1912
0,,1912
0,,1912
0,,1912
0,,1912
0,,1912
2,,1914
0,,1914
-1,,1913
-5,,1908
0,,1908
-3,,1905
-4,,1901
-4,,1897
-6,,1891
-5,,1886
-1,,1885
-3,,1882
0,,1882
3,,1885
0,,1885
2,,1887
3,,1890
0,,1890
1,,1891
1,,1892
0,,1892
0,,1892
1,,1893
2,,1895
0,,1895
1,,1896
2,,1898
2,,1900
0,,1900
-1,,1899
0,,1899
2,,1901
0,,1901
2,,1903
2,,1905
5,,1910
3,,1913
4,,1917
0,,1917
-1,,1916
0,,1916
2,,1918
1,,1919
0,,1919
-1,,1918
0,,1918
5,,1923
3,,1926
1,,1927
0,,1927
1,,1928
0,,1928
0,,1928
0,,1928
0,,1928
0,,1928
-1,,1927
0,,1927
1,,1928
0,,1928
0,,1928
0,,1928
-1,,1927
0,,1927
0,,1927
0,,1927
1,,1928
0,,1928
1,,1929
0,,1929
0,,1929
0,,1929
-1,,1928
0,,1928
0,,1928
0,,1928
1,,1929
0,,1929
0,,1929
0,,1929
-1,,1928
0,,1928
0,,1928
0,,1928
2,,1930
0,,1930
0,,1930
0,,1930
1,,1931
1,,1932
0,,1932
-1,,1931
-2,,1929
-2,,1927
0,,1927
1,,1928
0,,1928
0,,1928
0,,1928
1,,1929
1,,1930
0,,1930
-1,,1929
0,,1929
1,,1930
0,,1930
1,,1931
0,,1931
3,,1934
0,,1934
2,,1936
0,,1936
-1,,1935
0,,1935
-1,,1934
0,,1934
-1,,1933
0,,1933
-1,,1932
0,,1932
0,,1932
0,,1932
2,,1934
0,,1934
-1,,1933
0,,1933
1,,1934
0,,1934
1,,1935
0,,1935
1,,1936
0,,1936
0,,1936
0,,1936
1,,1937
0,,1937
2,,1939
0,,1939
1,,1940
0,,1940
0,,1940
0,,1940
1,,1941
0,,1941
0,,1941
0,,1941
-1,,1940
0,,1940
-1,,1939
0,,1939
-1,,1938
0,,1938
-1,,1937
0,,1937
-1,,1936
0,,1936
-1,,1935
0,,1935
0,,1935
0,,1935
1,,1936
0,,1936
1,,1937
0,,1937
-1,,1936
0,,1936
0,,1936
0,,1936
-1,,1935
0,,1935
1,,1936
0,,1936
-1,,1935
0,,1935
-1,,1934
0,,1934
1,,1935
0,,1935
0,,1935
0,,1935
1,,1936
0,,1936
-1,,1935
0,,1935
-1,,1934
0,,1934
-1,,1933
0,,1933
0,,1933
0,,1933
1,,1934
0,,1934
3,,1937
0,,1937
4,,1941
0,,1941
-1,,1940
0,,1940
0,,1940
0,,1940
1,,1941
0,,1941
1,,1942
0,,1942
1,,1943
0,,1943
3,,1946
0,,1946
0,,1946
0,,1946
2,,1948
0,,1948
0,,1948
0,,1948
4,,1952
0,,1952
4,,1956
0,,1956
2,,1958
0,,1958
1,,1959
0,,1959
-2,,1957
0,,1957
2,,1959
0,,1959
1,,1960
0,,1960
2,,1962
0,,1962
0,,1962
0,,1962
0,,1962
0,,1962
2,,1964
0,,1964
1,,1965
0,,1965
0,,1965
0,,1965
0,,1965
0,,1965
2,,1967
0,,1967
4,,1971
0,,1971
0,,1971
0,,1971
-1,,1970
0,,1970
1,,1971
0,,1971
1,,1972
0,,1972
-2,,1970
0,,1970
0,,1970
0,,1970
3,,1973
0,,1973
0,,1973
0,,1973
-1,,1972
