,,1040,
-1,,1039,
0,,1039,
3,,1042,
0,,1042,
4,,1046,
0,,1046,
0,,1046,
0,,1046,
0,,1046,
0,,1046,
3,,1049,
0,,1049,
4,,1053,
0,,1053,
5,,1058,
0,,1058,
3,,1061,
0,,1061,
2,,1063,
0,,1063,
0,,1063,
0,,1063,
-1,,1062,
0,,1062,
2,,1064,
0,,1064,
3,,1067,
0,,1067,
5,,1072,
0,,1072,
1,,1073,
0,,1073,
2,,1075,
0,,1075,
0,,1075,
0,,1075,
-1,,1074,
0,,1074,
2,,1076,
0,,1076,
1,,1077,
0,,1077,
0,,1077,
0,,1077,
-1,,1076,
0,,1076,
3,,1079,
0,,1079,
0,,1079,
0,,1079,
2,,1081,
0,,1081,
0,,1081,
0,,1081,
0,,1081,
0,,1081,
0,,1081,
0,,1081,
3,,1084,
0,,1084,
2,,1086,
0,,1086,
-1,,1085,
0,,1085,
2,,1087,
0,,1087,
2,,1089,
0,,1089,
0,,1089,
0,,1089,
-2,,1087,
0,,1087,
3,,1090,
4,,1094,
3,,1097,
3,,1100,
3,,1103,
2,,1105,
0,,1105,
-1,,1104,
0,,1104,
4,,1108,
4,,1112,
2,,1114,
3,,1117,
0,,1117,
2,,1119,
3,,1122,
2,,1124,
0,,1124,
4,,1128,
0,,1128,
3,,1131,
1,,1132,
0,,1132,
1,,1133,
0,,1133,
-1,,1132,
0,,1132,
3,,1135,
3,,1138,
3,,1141,
0,,1141,
-1,,1140,
0,,1140,
2,,1142,
0,,1142,
-1,,1141,
-1,,1140,
0,,1140,
-3,,1137,
-1,,1136,
-3,,1133,
-5,,1128,
-1,,1127,
-1,,1126,
-3,,1123,
0,,1123,
1,,1124,
0,,1124,
-1,,1123,
0,,1123,
-1,,1122,
0,,1122,
0,,1122,
0,,1122,
1,,1123,
0,,1123,
1,,1124,
0,,1124,
1,,1125,
0,,1125,
2,,1127,
0,,1127,
1,,1128,
0,,1128,
0,,1128,
0,,1128,
2,,1130,
0,,1130,
1,,1131,
0,,1131,
2,,1133,
0,,1133,
1,,1134,
0,,1134,
2,,1136,
0,,1136,
1,,1137,
0,,1137,
3,,1140,
0,,1140,
1,,1141,
0,,1141,
2,,1143,
0,,1143,
0,,1143,
0,,1143,
-3,,1140,
0,,1140,
-4,,1136,
-4,,1132,
-1,,1131,
0,,1131,
1,,1132,
0,,1132,
-1,,1131,
-3,,1128,
-3,,1125,
-3,,1122,
-1,,1121,
0,,1121,
2,,1123,
0,,1123,
0,,1123,
0,,1123,
3,,1126,
0,,1126,
-1,,1125,
0,,1125,
2,,1127,
0,,1127,
0,,1127,
0,,1127,
1,,1128,
0,,1128,
1,,1129,
0,,1129,
0,,1129,
0,,1129,
3,,1132,
0,,1132,
2,,1134,
0,,1134,
1,,1135,
0,,1135,
3,,1138,
0,,1138,
0,,1138,
0,,1138,
2,,1140,
0,,1140,
1,,1141,
0,,1141,
1,,1142,
0,,1142,
0,,1142,
0,,1142,
3,,1145,
0,,1145,
-4,,1141,
0,,1141,
-3,,1138,
0,,1138,
-2,,1136,
0,,1136,
-1,,1135,
0,,1135,
-3,,1132,
0,,1132,
0,,1132,
0,,1132,
-3,,1129,
0,,1129,
-1,,1128,
0,,1128,
0,,1128,
0,,1128,
-4,,1124,
0,,1124,
-4,,1120,
0,,1120,
-1,,1119,
0,,1119,
-1,,1118,
0,,1118,
-4,,1114,
0,,1114,
-2,,1112,
0,,1112,
-3,,1109,
0,,1109,
-1,,1108,
0,,1108,
-3,,1105,
0,,1105,
-2,,1103,
0,,1103,
-3,,1100,
0,,1100,
0,,1100,
0,,1100,
3,,1103,
0,,1103,
3,,1106,
0,,1106,
1,,1107,
0,,1107,
1,,1108,
0,,1108,
0,,1108,
0,,1108,
2,,1110,
0,,1110,
2,,1112,
0,,1112,
2,,1114,
0,,1114,
2,,1116,
0,,1116,
4,,1120,
0,,1120,
0,,1120,
0,,1120,
0,,1120,
0,,1120,
3,,1123,
0,,1123,
2,,1125,
0,,1125,
1,,1126,
0,,1126,
-1,,1125,
0,,1125,
1,,1126,
0,,1126,
3,,1129,
0,,1129,
